category_name,name,organization_name,street,city,state,zip,county,service_area_name,service_area_counties,service_area_town_names,phone,website_url,facebook_url,publish_from,publish_until,is_created_by_admin,is_approved,youtube_identifier,description
medical,Screening for Vision and Hearing,Family Service Association of Glens Falls,150 Warren Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-793-0797,https://www.fsaglensfalls.org/,https://www.facebook.com/www.familyserviceassoc.org/,2020-08-10,,TRUE,TRUE,,Provides glasses and hearing aids eligibility screenings. Open Monday through Friday 8:30 a.m. to 4:30 p.m.
medical,Emergency Prescription Program,Family Service Association of Glens Falls,150 Warren Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-793-0797,https://www.fsaglensfalls.org/,https://www.facebook.com/www.familyserviceassoc.org/,2020-08-10,,TRUE,TRUE,,Provides assistance in filling emergency RX. Open Monday through Friday 8:30 a.m. to 4:30 p.m.
shelter,Domestic Violence Project,"Catholic Charities of Saratoga, Warren & Washington Counties",35 Broad Street,Glens Falls ,NY,12801,,,"Warren, Washington, Saratoga",,518-793-6212,http://www.ccrcda.org/agencies_and_programs/Saratoga-Warren-Washington-Counties_109_2_sb.htm,https://www.facebook.com/ccrcda/,2020-08-10,,TRUE,TRUE,,Provides a 24-hour domestic violence hotline (518-793-9496) and emergency shelter.
shelter,Emergency Shelter,Wait House,10-12 Wait Street,Glens Falls,NY,12801,,,"Warren, Washington",,518-798-4384,https://hycwaithouse.org/,https://www.facebook.com/waithouseglensfalls/,2020-08-10,,TRUE,TRUE,,"Offers 30-day emergency shelter for homeless youth, transitional living for young women, and permanent housing assistance. Open 24/7. "
case management,Advocacy,Wait House,10-12 Wait Street,Glens Falls,NY,12801,,,"Warren, Washington",,518-798-4384,https://hycwaithouse.org/,https://www.facebook.com/waithouseglensfalls/,2020-08-10,,TRUE,TRUE,,"Offers assessment, case management, referrals, and crisis stabilization to youth who are homeless, at risk of homelessness, trafficked, or at risk of trafficking. Open 24/7"
food,Food Pantry,Salvation Army of Glens Falls,37 Broad Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-1960,https://empire.salvationarmy.org/EmpireNY/Home,https://www.facebook.com/TheSalvationArmyGlensFalls/,2020-08-10,,TRUE,TRUE,,Offers a food pantry based on need. The amount of food varies by family size. Open by appointment only.
food,Soup Kitchen,Salvation Army of Glens Falls,37 Broad Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-1960,https://empire.salvationarmy.org/EmpireNY/Home,https://www.facebook.com/TheSalvationArmyGlensFalls/,2020-08-10,,TRUE,TRUE,,Offers hot meals on Tuesdays at 5 p.m.
shelter,Emergency Shelter,Salvation Army of Glens Falls,37 Broad Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-1960,https://empire.salvationarmy.org/EmpireNY/Home,https://www.facebook.com/TheSalvationArmyGlensFalls/,2020-08-10,,TRUE,TRUE,,"Offers emergency, family, women's, and transitional housing. Open Monday through Friday from 9 a.m. to 4 p.m., Monday evenings from 6 - 8 p.m., Tuesday evenings from 5 - 8 p.m., Thursday evenings from 4:30 - 8 p.m., and Sundays 9:30 a.m. to 1 p.m."
rent,Rent Assistance,Salvation Army of Glens Falls,37 Broad Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-1960,https://empire.salvationarmy.org/EmpireNY/Home,https://www.facebook.com/TheSalvationArmyGlensFalls/,2020-08-10,,TRUE,TRUE,,"Offers rent assistance to help struggling families and individuals make ends meet. Open Monday through Friday from 9 a.m. to 4 p.m., Monday evenings from 6 - 8 p.m., Tuesday evenings from 5 - 8 p.m., Thursday evenings from 4:30 - 8 p.m., and Sundays 9:30 a.m. to 1 p.m."
utilities ,Utilities Assistance,Salvation Army of Glens Falls,37 Broad Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-1960,https://empire.salvationarmy.org/EmpireNY/Home,https://www.facebook.com/TheSalvationArmyGlensFalls/,2020-08-10,,TRUE,TRUE,,"Offers utilities assistance to help struggling families and individuals make ends meet. Open Monday through Friday from 9 a.m. to 4 p.m., Monday evenings from 6 - 8 p.m., Tuesday evenings from 5 - 8 p.m., Thursday evenings from 4:30 - 8 p.m., and Sundays 9:30 a.m. to 1 p.m."
case management,Children's Care Management,Salvation Army of Glens Falls,37 Broad Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-1960,https://empire.salvationarmy.org/EmpireNY/Home,https://www.facebook.com/TheSalvationArmyGlensFalls/,2020-08-10,,TRUE,TRUE,,"Provides help to families by making sure children get appointments with doctors, dentists, mental health providers or specialists.
Available to help whenever needed, 24/7. Open Monday through Friday from 9 a.m. to 4 p.m., Monday evenings from 6 - 8 p.m., Tuesday evenings from 5 - 8 p.m., Thursday evenings from 4:30 - 8 p.m., and Sundays 9:30 a.m. to 1 p.m."
medical,Children's Care Management,Salvation Army of Glens Falls,37 Broad Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-1960,https://empire.salvationarmy.org/EmpireNY/Home,https://www.facebook.com/TheSalvationArmyGlensFalls/,2020-08-10,,TRUE,TRUE,,"Provides help to families by making sure children get appointments with doctors, dentists, mental health providers or specialists.
Available to help whenever needed, 24/7. Open Monday through Friday from 9 a.m. to 4 p.m., Monday evenings from 6 - 8 p.m., Tuesday evenings from 5 - 8 p.m., Thursday evenings from 4:30 - 8 p.m., and Sundays 9:30 a.m. to 1 p.m."
clothing,Emergency Clothing,Salvation Army of Glens Falls,37 Broad Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-1960,https://empire.salvationarmy.org/EmpireNY/Home,https://www.facebook.com/TheSalvationArmyGlensFalls/,2020-08-10,,TRUE,TRUE,,Offers emergency clothing items for those facing a crisis. Open Monday through Friday from 9a.m. to 4 p.m.
household items,Emergency Household Items,Salvation Army of Glens Falls,37 Broad Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-1960,https://empire.salvationarmy.org/EmpireNY/Home,https://www.facebook.com/TheSalvationArmyGlensFalls/,2020-08-10,,TRUE,TRUE,,Offers emergency household items for those facing a crisis. Open Monday through Friday from 9 a.m. to 4 p.m.
medical,Advocacy,Southern Adirondack Independent Living (SAIL),71 Glenwood Avenue,Queensbury,NY,12804,,,"Warren, Washington",,518-792-3537,https://sailhelps.org/,https://www.facebook.com/SAIL.HELPS/,2020-08-10,,TRUE,TRUE,,"Offers health insurance guidance, medical equipment loans, and help accessing programs and services for people with disabilities. Open Monday through Friday from 8 a.m. to 4 p.m."
utilities ,Warren County DSS,Home Energy Assistance Program,1340 State Route 9,Lake George,NY,12845,Warren,,,,518-761-6338,https://www.warrencountyny.gov/socserv/,https://www.facebook.com/Warren-County-New-York-113824060252510/,2020-08-10,,TRUE,TRUE,,HEAP is a federally funded program designed to assist low income households meet heating related energy needs during the winter months. Open Monday through Friday 8 a.m. to 5 p.m.  
utilities ,Utilities Assistance,LEAP Emergency Services,383 Broadway ,Fort Edward,NY,12828,Washington,,,,518-746-2390,https://www.leapservices.org/about/,https://www.facebook.com/LeapServices/,2020-08-10,,TRUE,TRUE,,Offers individuals and families with emergency payments to avoid shut offs of utilities. Open Monday through Friday from 8 a.m. to 4 p.m.
food,Food Pantry,LEAP Emergency Services,383 Broadway ,Fort Edward,NY,12828,Washington,,,,518-746-2390,https://www.leapservices.org/about/,https://www.facebook.com/LeapServices/,2020-08-10,,TRUE,TRUE,,Offers food once per month to residents in need. Open MWF 1:30 - 3:30 p.m. and TTH 9:30 - 11:30 a.m.
rent,Rent Assistance,LEAP Emergency Services,383 Broadway ,Fort Edward,NY,12828,Washington,,,,518-746-2390,https://www.leapservices.org/about/,https://www.facebook.com/LeapServices/,2020-08-10,,TRUE,TRUE,,Offers assistance once annually with first month's rent or emergency rent to avoid eviction. Open Monday through Friday from 8 a.m. to 4 p.m.
rent,Rent Assistance,Warren Country Department of Social Services,1340 State Route 9,Lake George,NY,12845,Warren,,,,518-761-6318,https://www.warrencountyny.gov/socserv/,https://www.facebook.com/Warren-County-New-York-113824060252510/,2020-08-10,,TRUE,TRUE,,Offers emergency assistance to familes and individuals with an immediate need such as eviction. Open Monday through Friday from 8 a.m. to 5 p.m. 
rent,Rent Assistance,Washington County Department of Social Services,383 Broadway,Fort Edward ,NY,12828,Washington,,,,518-746-2300,https://www.washingtoncountyny.gov/517/Social-Services,https://www.facebook.com/Washington-County-Department-of-Social-Services-198945927130054/,2020-08-10,,TRUE,TRUE,,Offers temporary assistance for housing. A face-to-face interview is required for this program. Open Monday through Friday from 8:30 a.m. to 4:30 p.m.
food,Meal,Warren Country Office for the Aging,1340 State Route 9,Lake George,NY,12845,Warren,,,,518-761-6347,https://www.warrencountyny.gov/ofa/,https://www.facebook.com/WarrenHamilton-Counties-Office-for-the-Aging-355874641489639/,2020-08-10,,TRUE,TRUE,,"Offers meals Monday through Friday to any person 60 years of age or older, regardless of income level or resources. A voluntary contribution of $3 is suggested. Individuals under 60 years of age are welcome as well, but are required to contribute $5. Meal sites are located throughout Warren County. Bolton Landing: Church of St. Sacrament at 4879 Lake Shore Dr. - Chestertown: Town Hall at 6307 State Route 9 - Glens Falls: First Presbyterian Church at 400 Glen St. - Johnsburg: Senior Center at 3548 State Route 28  - Lake Luzerne: Senior Center at 539 Lake Ave. - Queensbury: Cedars Senior Living at 35 Evergreen Ln. and Solomon Heights at 18 Farr East Ln. - Warrensburg: Countryside Adult Home at 353 Schroon River Rd. "
food,Food Pantry,Sacred Heart Food Pantry,50 Mohican Street,Lake George,NY,12845,Warren,,,,518-668-2046,http://www.sacredheartlg.org/,https://www.facebook.com/sacredheartlg.catholic/,2020-08-10,,TRUE,TRUE,,Food pantry is open the 2nd and/or 4th Friday of each month from 1 - 3 p.m. Contact Kathy Dorman at kathy.dorman4@gmail.com.
food,Meal,Sacred Heart Catholic Church,50 Mohican Street,Lake George,NY,12845,Warren,,,,518-668-2046,http://www.sacredheartlg.org/,https://www.facebook.com/sacredheartlg.catholic/,2020-08-10,,TRUE,TRUE,,Community dinners October through May on Wednesdays from 5 - 6 p.m. Contact Kathy Dorman at kathy.dorman4@gmail.com.
food,Meal,Christ Church United Methodist ,54 Bay Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-793-3468,https://christchurchglensfalls.org/,,2020-08-10,,TRUE,TRUE,,"Community dinners offered on the last Saturday of the month. Church office hours are Monday, Tuesday, Thursday from 9 a.m. to 3:30 p.m."
food,Meal,Faith Tabernacle Baptist Church ,12 Nelson Street,Glens Falls,NY,12801,Warren,Glens Falls,,,518-798-5054,,https://www.facebook.com/faithtabernaclemissionarybaptistchurch/,2020-08-10,,TRUE,TRUE,,Community dinners offered on the first Friday of the month.
food,Meal,Church of the Messiah,296 Glen Street,Glens Falls,NY,12801,Warren,Glens Falls,,,518-792-1560,https://www.messiahgf.org/,https://www.facebook.com/messiahglensfalls/,2020-08-10,,TRUE,TRUE,,Community dinners offered Sundays at 5:30 p.m. but temporarily canceled due to COVID-19.
clothing,Good Shepherd Clothes Closet,Church of the Messiah,296 Glen Street,Glens Falls,NY,12801,Warren,Glens Falls,,,518-792-1560,https://www.messiahgf.org/,https://www.facebook.com/messiahglensfalls/,2020-08-10,,TRUE,TRUE,,Temoprarily closed due to COVID-19.
food,Food Pantry,Church of the Messiah,296 Glen Street,Glens Falls,NY,12801,Warren,Glens Falls,,,518-792-1560,https://www.messiahgf.org/,https://www.facebook.com/messiahglensfalls/,2020-08-10,,TRUE,TRUE,,Temoprarily closed due to COVID-19.
food,Food Pantry,St. Mary's Church Food Pantry,62 Warren Street,Glens Falls,NY,12801,Warren,,,"Glens Falls, Queensbury",518-792-0989,https://www.stmarysglensfalls.org/food-pantry,https://www.facebook.com/StMarysGlensFalls/,2020-08-10,,TRUE,TRUE,,Clients can use the pantry twice per month. Photo ID is required. Open Fridays from 9 a.m. to 1 p.m. 
food,Bread of Life Food Pantry,Calvary's Family Life Center ,100 Sherman Avenue,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-798-0850,https://www.agcalvary.com/ministries,https://www.facebook.com/CalvarysFamilyLifeCenter/,2020-08-10,,TRUE,TRUE,,Open Tuesdays 10 a.m. to 1 p.m. & 5 p.m. to 6:30 p.m.
food,Food Pantry,Queensbury United Methodist Church,460 Aviation Road,Queensbury,NY,12804,Warren,,,"Glens Falls, Queensbury, Lake George",518-793-9728,https://umcq.org/food-pantry/,https://www.facebook.com/queensburyumc/,2020-08-10,,TRUE,TRUE,,"Proof of residency is required. Bring shopping bags and visit only once every four weeks. Closed the first week of the month. Open Tuesdays from 9:30 to11 a.m. Thursday and Saturday hours vary, so check webiste or call. "
food,Bread of Life Food Pantry,Zion Episcopal Church,224 Main Street,Hudson Falls,NY,12839,Washington,,,,518-747-6514,https://episcopalchurch.org/parish/zion-episcopal-church-hudson-falls-ny,https://www.facebook.com/ZionEpiscopalChurch/,2020-08-10,,TRUE,TRUE,,Open Wednesdays noon to 3 p.m. and Saturdays 10 a.m. to 2 p.m.
clothing,Zion's Closet,Zion Episcopal Church,224 Main Street,Hudson Falls,NY,12839,Washington,,,,518-747-6514,https://episcopalchurch.org/parish/zion-episcopal-church-hudson-falls-ny,https://www.facebook.com/ZionEpiscopalChurch/,2020-08-10,,TRUE,TRUE,,Open Wednesdays noon to 3 p.m. and Saturdays 10 a.m. to 2 p.m.
food,Soup Kitchen,Open Door Misson,47 Lawrence Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-5900,https://opendoor-ny.org/,https://www.facebook.com/OpenDoorNY/,2020-08-10,,TRUE,TRUE,,"Breakfast is served Monday through Friday from 8 to 9:30 a.m. Lunch is served Monday through Saturday 11:30 a.m. to 12:30 p.m. Dinner is served Monday, Wednesday, Thursday, Friday (except the first Friday of the month) from 4:30 to 5:30 p.m."
food,Food Pantry,Open Door Misson,226 Warren Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-5900,https://opendoor-ny.org/,https://www.facebook.com/OpenDoorNY/,2020-08-10,,TRUE,TRUE,,Offers emergency food assistance only. Open Monday Thursday from 1 to 4 p.m.
shelter,Emergency Shelter,Open Door Misson,226 Warren Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-5900,https://opendoor-ny.org/,https://www.facebook.com/OpenDoorNY/,2020-08-10,,TRUE,TRUE,,"Offers beds to men experiencing homelessness. Also offers a Day Room daily from 9 to 11 a.m. & 1 to 4 p.m. for those experiencing homelessness to come in off the streets, do laundry and access computers. From November to March offers overnight shelter when temperature drops below 32 degrees or 12"" or more of snow is in the immediate forecast."
case management,Advocacy,Open Door Misson,226 Warren Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-792-5900,https://opendoor-ny.org/,https://www.facebook.com/OpenDoorNY/,2020-08-10,,TRUE,TRUE,,"Services include encouragement for daily living, counseling, connections to community resources, medical screenings, substance abuse recovery programs, budgeting, transportation, life and job skills. Open Monday through Friday from 9 a.m. to 5 p.m."
medical,Health Care Management,Adirondack Health Institute,101 Ridge Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-480-0111,https://ahihealth.org/,https://www.facebook.com/ahihealth/,2020-08-10,,TRUE,TRUE,,"Offers help with health insurance. Coordinates medical and behavioral health care for those with HIV/AIDS, a serious and persistent mental illness, or two or more other chronic conditions."
rent,Rent Assistance,Glens Falls Housing Authority/Public Housing/Section 8,23 Jay Street,Glens Falls,NY,12801,Warren,Glens Falls,,,518-793-2583,http://www.glensfallshousingauthority.org/,,2020-08-10,,TRUE,TRUE,,Provides rental assistance to homeless or low income individuals or families.
food,Food Pantry,Moreau Community Center,144 Main Street,South Glens Falls,NY,12803,Saratoga,South Glens Falls,,,518-792-6007,https://moreaucommunitycenter.org/,https://www.facebook.com/MoreauCommunityCenter/,2020-08-10,,TRUE,TRUE,,Serves residents of the South Glens Falls school district. Households may utilize the food pantry once per month. Each month bring valid photo ID and a piece of mail for each resident of the household over the age of 18. Open Monday through Friday from 9 a.m. to 2:45 p.m. No appointment necessary.
food,Food Pantry,Pine Knolls Alliance Church,614 Gansevoort Road,South Glens Falls,NY,12803,,,"Warren, Washington, Saratoga",,518-793-7107,http://pineknolls.net/home,https://www.facebook.com/groups/pineknolls/,2020-08-10,,TRUE,TRUE,,Open Saturday from 9 to 10:30 a.m. and Sunday by appointment only.
food,Food Pantry,Lake George Food Pantry at Caldwell Presbyterian Church,71 Montcalm Street,Lake George,NY,12845,Warren,,,"Queensbury, Lake George",518-668-2613,http://www.caldwellpres.org/,https://www.facebook.com/pages/Caldwell-Presbyterian-Church/115878831775425,2020-08-10,,TRUE,TRUE,,Open 2nd and 4th Fridays of each month from 10 a.m. to noon. 
food,Food Pantry,Maxfield Community Food Pantry,89 Bay Road ,Lake Luzerne,NY,12846,,,"Warren, Saratoga","Lake Luzerne, Hadley",518-696-4979,,https://www.facebook.com/Maxfieldcommunityfoodpantry/,2020-08-10,,TRUE,TRUE,,"Offers emergency food assistance to residents of the Hadley Luzern School District. Open 5 days a week. Open MWF from 1 to 4 p.m., Tuesday from 6 to 8 p.m., Thursday from 9 a.m. to noon. Check Facebook page or call for an appointment."
food,Food Pantry,Corinth Community Cupboard Food Pantry,6 Fourth Street,Corinth,NY,12822,Saratoga,Corinth,,,518-769-2067,,https://www.facebook.com/CorinthNYFoodPantry/,2020-08-10,,TRUE,TRUE,,"Offers 3 days of emergency food to residents of the Corinth School District. Open Tuesday & Friday from 2 to 5 p.m., Wednesday from 6 to 8 p.m., Thursday & Saturday from 9 a.m. to noon. Check Facebook page or call for an appointment."
food,Food Pantry,First Presbyterian Church of Warrensburg Food Pantry,2 Stewart Farrar Street,Warrensburg,NY,12885,Warren,Warrensburg,,,518-623-2723,,https://www.facebook.com/FirstPresbyterianChurchOfWarrensburg/,2020-08-10,,TRUE,TRUE,,Open Monday from 9 a.m. to noon.
food,Food Pantry,North Country Ministry Food Pantry,3933 Main Street,Warrensburg,NY,12885,Warren,,,"Warrensburg, Pottersville, North Creek, Johnsburg, Brant Lake, Chester, Horicon",518-623-2829,http://www.northcountryministry.org/,https://www.facebook.com/NCMHope/,2020-08-10,,TRUE,TRUE,,Open at the Warrensburg Center on Wednesday from 1 to 4 p.m. Open at the YMCA Adirondack Center at 148 Tannery Road in Brant Lake on Wednesday from 3 to 5 p.m.
clothing,Clothing Center,North Country Ministry Food Pantry,3933 Main Street,Warrensburg,NY,12885,Warren,,,"Warrensburg, Pottersville, North Creek, Johnsburg, Brant Lake, Chester, Horicon",518-623-2829,http://www.northcountryministry.org/,https://www.facebook.com/NCMHope/,2020-08-10,,TRUE,TRUE,,"Open by appointment only on Fridays. To schedule an appointment, contact Laurie Bartlett at 518.623.2829 Ext. 302 or adminassistant@northcountryministry.org."
case management,Advocacy,North Country Ministry Food Pantry,3933 Main Street,Warrensburg,NY,12885,Warren,,,"Warrensburg, Pottersville, North Creek, Johnsburg, Brant Lake, Chester, Horicon",518-623-2829,http://www.northcountryministry.org/,https://www.facebook.com/NCMHope/,2020-08-10,,TRUE,TRUE,,"Offers casework services at the Warrensburg location (3933 Main Street) and the North Creek location (32 Circle Drive, 518-251-4460)."
household items,Furniture Program,North Country Ministry Food Pantry,3933 Main Street,Warrensburg,NY,12885,Warren,,,"Warrensburg, Pottersville, North Creek, Johnsburg, Brant Lake, Chester, Horicon",518-623-2829,http://www.northcountryministry.org/,https://www.facebook.com/NCMHope/,2020-08-10,,TRUE,TRUE,,Call for information.
food,Food Pantry,Warrensburg Town Hall,3797 Main Street,Warrensburg,NY,12885,Warren,Warrensburg,,,518-623-4561,https://townofwarrensburg.org/index.html,https://www.facebook.com/pages/Town-of-Warrensburg-Town-Hall/556507611176367,2020-08-10,,TRUE,TRUE,,"Call the Town Clerk, Donna Combs, for more information."
food,Food Pantry,Chestertown Food Pantry,6307 Route 9,Chestertown,NY,12817,Warren,Chestertown,,,518-494-2433,https://www.townofchesterny.org/food-pantry.html,,2020-08-10,,TRUE,TRUE,,Call Amy Combs for more information. Open Monday through Friday from 10 a.m. to 3 p.m.
food,Food Pantry,Argyle Presbyterian Church Food Pantry,48 Main Street,Argyle,NY,12809,Washington,Argyle,,,518-638-8072,https://www.argylepresbyterian.org/,https://www.facebook.com/argyle.presbyterian/,2020-08-10,,TRUE,TRUE,,Offers food to residents of Argyle. Open Saturday 10 a.m. to noon. 
clothing,Christ's Closet,Argyle United Methodist Church,12 Sheridan ,Argyle,NY,12809,Washington,Argyle,,,518-638-8955,https://www.unyumc.org/resources/church/argyle-umc,https://www.facebook.com/Christs-Closet-Thrift-Shop-1701660193415899/,2020-08-10,,TRUE,TRUE,,The thrift shop has no set prices. Everything is make a donation. Open Saturday 9 a.m. to noon and the first Friday of the month from 2 to 5 p.m.
household items,Christ's Closet,Argyle United Methodist Church,12 Sheridan ,Argyle,NY,12809,Washington,Argyle,,,518-638-8955,https://www.unyumc.org/resources/church/argyle-umc,https://www.facebook.com/Christs-Closet-Thrift-Shop-1701660193415899/,2020-08-10,,TRUE,TRUE,,The thrift shop has no set prices. Everything is make a donation. Open Saturday 9 a.m. to noon and the first Friday of the month from 2 to 5 p.m.
food,Food Pantry,Fort Edward Community Food Pantry at the Village Baptist Church,131 Broadway,Fort Edward,NY,12828,Washington,Fort Edward,,,518-747-5939,,https://www.facebook.com/fortedwardcommunityfoodpantry/,2020-08-10,,TRUE,TRUE,,"Provides groceries to those in need within the Town and Village of Fort Edward. Open Tuesday, Thursday and Saturday from 4 to 7 p.m. Call for an appointment."
food ,Food Pantry,Cornerstone Outreach Center Food Pantry,1767 State Route 196,Fort Edward,NY,12828,Washington,,,,518-747-6814,http://cornerstoneoutreachcenter.com/index.php/food-pantry-outreach/,https://www.facebook.com/CornerStone-Outreach-Center-361887220560345/,2020-08-10,,TRUE,TRUE,,Open Wednesday from noon to 3 p.m.
food,Food Pantry,Granville Area Food Pantry and Community Services,3 Morrison Avenue,Granville,NY,12832,Washington,Granville,,,518-642-1853,https://regionalfoodbank.net/agencies/mvec-food-pantry/,,2020-08-10,,TRUE,TRUE,,Serves residents of the Granville School District. Proof of residency required. Open Saturday 9 to 11:15 a.m. 
food,Food Pantry,Comfort Food Community Center,2530 Route 40,Greenwich,NY,12834,Washington,Greenwich,,,518-538-3522,http://comfortfoodcommunity.org/,https://www.facebook.com/comfortfoodcommunity/,2020-08-10,,TRUE,TRUE,,"Serves residents of the Greenwich School District. Proof of residency required (ID, utility bill, etc.) for first visit. Guests are welcome to visit once a week. Greenwich pantry open Monday & Wednesday from 4 to 7 p.m. and Wednesday from 9 to 11 a.m. Cossayuna Pantry is located at 21 Bunkerhill Road and is open Tuesday from 3:30 to 5:30 p.m."
